range, selector_template, style, value1, value2, value3, value4
0, block, display, block,,,,
0, inline, display, inline,,,,
0, inline-block, display, inline-block,,,,
0, flow-root, display, flow-root,,,,
0, flex, display, flex,,,,
0, inline-flex, display, inline-flex,,,,
0, grid, display, grid,,,,
0, inline-grid, display, inline-grid,,,,
0, contents, display, contents,,,,
0, table, display, table,,,,
0, inline-table, display, inline-table,,,,
0, table-caption, display, table-caption,,,,
0, table-cell, display, table-cell,,,,
0, table-column, display, table-column,,,,
0, table-column-group, display, table-column-group,,,,
0, table-footer-group, display, table-footer-group,,,,
0,table-header-group,display, table-header-group,,,,
0, table-row-group,display, table-row-group,,,,
0, table-row,display, table-row,,,,
0, list-item,display, list-item,,,,
0, hidden, display, none,,,,
0, aspect-square, aspect-ratio, 1/1,,,,
0, aspect-video, aspect-ratio, 16/9,,,,
0, aspect-portrait, aspect-ratio, 3/4,,,,
0, aspect-landscape, aspect-ratio, 4/3,,,,
0, aspect-auto, aspect-ratio, auto,,,,
1, p, padding,,,,
1, pt, padding-top,,,,
1, pr, padding-right,,,,
1, pb, padding-bottom,,,,
1, pl, padding-left,,,,
1, m, margin,,,,
1, mt, margin-top,,,,
1, mr, margin-right,,,,
1, mb, margin-bottom,,,,
1, ml, margin-left,,,,
1, br, border-radius,,,,
0, pos-absolute, position, absolute,,,,
0, pos-relative, position, relative,,,,
0, pos-fixed, position, fixed,,,,
0, pos-static, position, static,,,,
0, pos-sticky, position, sticky,,,,
